"","predictors","X.IncMSE"
"median_age","median_age",46.1052877104728
"vacant_housing_units","vacant_housing_units",27.0482047260537
"percent_income_spent_on_rent","percent_income_spent_on_rent",25.7023014213913
"mobile_homes","mobile_homes",24.2551125007402
"income_per_capita","income_per_capita",23.9802613098157
"group_quarters","group_quarters",22.3554442513922
"walked_to_work","walked_to_work",21.2760554700913
"less_than_high_school_graduate","less_than_high_school_graduate",19.5131768013969
"black_male_55_64","black_male_55_64",19.3461966199186
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",18.1511571809905
"median_rent","median_rent",17.8863385957366
"median_income","median_income",17.5250850851719
"employed_wholesale_trade","employed_wholesale_trade",17.4219751465429
"black_pop","black_pop",16.8348605822829
"employed_manufacturing","employed_manufacturing",16.7260833324421
"occupation_production_transportation_material","occupation_production_transportation_material",16.6864202485811
"employed_agriculture_forestry_fishing_hunting_mining","employed_agriculture_forestry_fishing_hunting_mining",16.5916085382189
"black_male_45_54","black_male_45_54",16.4929078448507
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",16.201972395651
"amerindian_pop","amerindian_pop",16.0838722527809
"commute_less_10_mins","commute_less_10_mins",16.0257354149507
"black_including_hispanic","black_including_hispanic",15.6411136646154
"different_house_year_ago_same_city","different_house_year_ago_same_city",15.5758023100969
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",15.5277202698673
"commute_90_more_mins","commute_90_more_mins",15.5056534634694
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",15.0910427386677
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",15.0870001026878
"male_male_households","male_male_households",14.9194954599605
"commuters_by_public_transportation","commuters_by_public_transportation",14.836716142378
"rent_under_10_percent","rent_under_10_percent",14.4907490268561
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",13.9727175598398
"commute_5_9_mins","commute_5_9_mins",13.7138563346444
"two_parent_families_with_young_children","two_parent_families_with_young_children",13.452949426607
"commuters_by_bus","commuters_by_bus",13.3679924551696
"masters_degree","masters_degree",13.1435168756103
"female_85_and_over","female_85_and_over",13.0578349096796
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",12.9518993869146
"employed_transportation_warehousing_utilities","employed_transportation_warehousing_utilities",12.8253972350381
"housing_built_1939_or_earlier","housing_built_1939_or_earlier",12.6855236043169
"commute_35_44_mins","commute_35_44_mins",12.482907708081
"commute_40_44_mins","commute_40_44_mins",12.4488179560083
"commute_45_59_mins","commute_45_59_mins",11.7798483754111
"income_200000_or_more","income_200000_or_more",11.7379457056415
"households_retirement_income","households_retirement_income",11.4724349928278
"white_male_55_64","white_male_55_64",11.2917081365257
"three_cars","three_cars",10.8257453113746
"male_65_to_66","male_65_to_66",10.7983107496431
"commute_20_24_mins","commute_20_24_mins",10.7147938068429
"commute_25_29_mins","commute_25_29_mins",10.5522513797164
"commute_30_34_mins","commute_30_34_mins",10.4752503503437
"employed_education_health_social","employed_education_health_social",10.4317958729656
"female_60_to_61","female_60_to_61",10.4076664337776
"male_5_to_9","male_5_to_9",10.3199300017644
"dwellings_1_units_attached","dwellings_1_units_attached",10.0912760912523
"female_65_to_66","female_65_to_66",9.80168804949655
"million_dollar_housing_units","million_dollar_housing_units",9.76855898611127
"employed_finance_insurance_real_estate","employed_finance_insurance_real_estate",9.65863481072174
"in_grades_5_to_8","in_grades_5_to_8",9.40257700429864
"female_62_to_64","female_62_to_64",9.18887683588745
"occupation_natural_resources_construction_maintenance","occupation_natural_resources_construction_maintenance",9.17142609184147
"female_80_to_84","female_80_to_84",9.12301028777661
"male_45_64_graduate_degree","male_45_64_graduate_degree",9.01812305431271
"income_45000_49999","income_45000_49999",8.92994724418597
"male_75_to_79","male_75_to_79",8.86393840134093
"female_70_to_74","female_70_to_74",8.80839967048922
"male_under_5","male_under_5",8.58769029385836
"white_male_45_54","white_male_45_54",8.46934829638317
"commute_60_more_mins","commute_60_more_mins",8.38557159932857
"male_22_to_24","male_22_to_24",8.32155422846051
"male_70_to_74","male_70_to_74",8.206890186251
"white_pop","white_pop",8.1084197136605
"employed_other_services_not_public_admin","employed_other_services_not_public_admin",8.0221271256068
"management_business_sci_arts_employed","management_business_sci_arts_employed",7.97315347779397
"commute_35_39_mins","commute_35_39_mins",7.90451757125209
"worked_at_home","worked_at_home",7.78824283381569
"aggregate_travel_time_to_work","aggregate_travel_time_to_work",7.72717105423414
"graduate_professional_degree","graduate_professional_degree",7.18297756600089
"commute_60_89_mins","commute_60_89_mins",7.11385507576538
"commuters_drove_alone","commuters_drove_alone",6.61140778798083
"employed_science_management_admin_waste","employed_science_management_admin_waste",6.50945492066101
"occupation_management_arts","occupation_management_arts",6.50559982896652
"mortgaged_housing_units","mortgaged_housing_units",5.54320941929389
"total_pop","total_pop",4.76638068057687
