"","predictors","X.IncMSE"
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",29.2456786207108
"white_pop","white_pop",24.3157618033918
"white_male_55_64","white_male_55_64",23.8326621772033
"amerindian_pop","amerindian_pop",21.8670296361176
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",21.5848717118762
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",18.9977405315837
"four_more_cars","four_more_cars",18.9406568717165
"worked_at_home","worked_at_home",17.9605213647302
"less_than_high_school_graduate","less_than_high_school_graduate",17.9042955850556
"different_house_year_ago_different_city","different_house_year_ago_different_city",17.1846213733284
"walked_to_work","walked_to_work",16.9249412640233
"median_income","median_income",16.4269713354539
"employed_finance_insurance_real_estate","employed_finance_insurance_real_estate",15.4032913794533
"employed_wholesale_trade","employed_wholesale_trade",15.3072695772072
"commute_35_39_mins","commute_35_39_mins",15.2481407358361
"other_race_pop","other_race_pop",15.1011840399196
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",14.9247446541982
"income_15000_19999","income_15000_19999",14.8516637697716
"income_125000_149999","income_125000_149999",14.7703771163866
"three_cars","three_cars",14.7559251607661
"male_45_64_bachelors_degree","male_45_64_bachelors_degree",14.4347057816915
"employed_other_services_not_public_admin","employed_other_services_not_public_admin",14.0900229245946
"not_hispanic_pop","not_hispanic_pop",14.036654101112
"commute_25_29_mins","commute_25_29_mins",13.5797849071141
"white_including_hispanic","white_including_hispanic",13.3069329623554
"poverty","poverty",13.2844725946368
"armed_forces","armed_forces",13.2179599617835
"male_45_64_some_college","male_45_64_some_college",13.0286192334932
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",12.9426929364384
"father_one_parent_families_with_young_children","father_one_parent_families_with_young_children",12.8581306500546
"occupation_natural_resources_construction_maintenance","occupation_natural_resources_construction_maintenance",12.7369537892374
"rent_10_to_15_percent","rent_10_to_15_percent",12.6288753777026
"commute_30_34_mins","commute_30_34_mins",12.5888914526029
"male_60_61","male_60_61",12.3359492410748
"one_year_more_college","one_year_more_college",12.2244505041378
"some_college_and_associates_degree","some_college_and_associates_degree",11.9822681991726
"commute_35_44_mins","commute_35_44_mins",11.9311627991996
"masters_degree","masters_degree",11.9305749530419
"father_in_labor_force_one_parent_families_with_young_children","father_in_labor_force_one_parent_families_with_young_children",11.829515119197
"commute_40_44_mins","commute_40_44_mins",11.7078335500557
"male_45_64_associates_degree","male_45_64_associates_degree",11.6711899034646
"associates_degree","associates_degree",11.6153389073229
"female_female_households","female_female_households",11.587783448767
"dwellings_1_units_detached","dwellings_1_units_detached",11.4679295677097
"median_rent","median_rent",11.426306216827
"bachelors_degree_2","bachelors_degree_2",11.4169945575452
"million_dollar_housing_units","million_dollar_housing_units",11.405698827982
"commuters_by_carpool","commuters_by_carpool",11.3611064694156
"dwellings_10_to_19_units","dwellings_10_to_19_units",11.1438072179738
"bachelors_degree","bachelors_degree",11.0832982733883
"employed_construction","employed_construction",11.0607709053946
"graduate_professional_degree","graduate_professional_degree",11.0214228174164
"income_150000_199999","income_150000_199999",11.0056300918279
"employed_information","employed_information",10.881152784568
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",10.8297660264538
"employed_arts_entertainment_recreation_accommodation_food","employed_arts_entertainment_recreation_accommodation_food",10.689292939825
"employed_science_management_admin_waste","employed_science_management_admin_waste",10.6030167171206
"income_100000_124999","income_100000_124999",10.5157008725825
"income_less_10000","income_less_10000",10.3103383349377
"commuters_drove_alone","commuters_drove_alone",10.1898436161701
"male_55_to_59","male_55_to_59",9.96308233945788
"income_50000_59999","income_50000_59999",9.65993538179687
"less_one_year_college","less_one_year_college",9.6530012547531
"management_business_sci_arts_employed","management_business_sci_arts_employed",9.57467850997665
"male_40_to_44","male_40_to_44",9.54953419052088
"male_45_64_graduate_degree","male_45_64_graduate_degree",9.20998241831613
"income_60000_74999","income_60000_74999",9.16767604739608
"two_cars","two_cars",8.87070694965604
"occupation_management_arts","occupation_management_arts",8.81741982807251
"commuters_by_car_truck_van","commuters_by_car_truck_van",8.81277835082812
"mortgaged_housing_units","mortgaged_housing_units",8.43782053979759
"total_pop","total_pop",8.3833887966463
"commuters_16_over","commuters_16_over",8.26721835114042
"male_male_households","male_male_households",8.20224044827327
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",7.93523548664766
"employed_pop","employed_pop",7.7542230190361
"income_75000_99999","income_75000_99999",7.49995130843736
"occupation_sales_office","occupation_sales_office",7.12584636507696
"bachelors_degree_or_higher_25_64","bachelors_degree_or_higher_25_64",6.99093948823822
"sales_office_employed","sales_office_employed",6.65395747248049
"pop_in_labor_force","pop_in_labor_force",6.4226538873846
"workers_16_and_over","workers_16_and_over",5.86517232388296
"civilian_labor_force","civilian_labor_force",5.67390879410198
