"","predictors","X.IncMSE"
"father_one_parent_families_with_young_children","father_one_parent_families_with_young_children",10.6573985758047
"in_grades_1_to_4","in_grades_1_to_4",10.5253848875658
"children","children",9.83251764470554
"male_5_to_9","male_5_to_9",9.74605653466728
"female_under_5","female_under_5",9.68634753493469
"families_with_young_children","families_with_young_children",9.34831391762337
"male_under_5","male_under_5",8.91031170109458
"hispanic_male_45_54","hispanic_male_45_54",8.88603707870539
"high_school_including_ged","high_school_including_ged",8.60928016041821
"high_school_diploma","high_school_diploma",8.44909759715504
"female_15_to_17","female_15_to_17",7.98089488636387
"in_grades_5_to_8","in_grades_5_to_8",7.77908856123018
"female_5_to_9","female_5_to_9",7.4411600348102
"in_grades_9_to_12","in_grades_9_to_12",7.35832232499258
"occupation_sales_office","occupation_sales_office",7.32251730872284
"male_10_to_14","male_10_to_14",7.2639654477138
"female_10_to_14","female_10_to_14",7.17606860715903
"sales_office_employed","sales_office_employed",7.0689163879266
"in_school","in_school",7.0366327614999
"employed_retail_trade","employed_retail_trade",6.92874620523071
"male_15_to_17","male_15_to_17",6.85661469339679
"white_including_hispanic","white_including_hispanic",6.03295279435674
"male_pop","male_pop",5.68125131626596
"occupation_production_transportation_material","occupation_production_transportation_material",5.07131013955435
"income_75000_99999","income_75000_99999",4.63881638413464
"male_30_to_34","male_30_to_34",4.36943624077211
"male_22_to_24","male_22_to_24",4.29602809744473
"income_60000_74999","income_60000_74999",4.19763811783273
"female_30_to_34","female_30_to_34",4.13510860607016
"some_college_and_associates_degree","some_college_and_associates_degree",4.06624026192276
"owner_occupied_housing_units","owner_occupied_housing_units",4.0077163843759
"female_pop","female_pop",3.88741887148612
"total_pop","total_pop",3.78585972903864
"commuters_16_over","commuters_16_over",3.7617756290658
"not_in_labor_force","not_in_labor_force",3.75571573702094
"one_car","one_car",3.74883022899219
"population_1_year_and_over","population_1_year_and_over",3.64517240513374
"female_22_to_24","female_22_to_24",3.63840788123938
"one_year_more_college","one_year_more_college",3.60789049236995
"commuters_drove_alone","commuters_drove_alone",3.50587705938463
"not_hispanic_pop","not_hispanic_pop",3.25373116657509
"occupation_services","occupation_services",3.18818100225303
"male_35_to_39","male_35_to_39",3.1531055137382
"income_50000_59999","income_50000_59999",3.13733434412032
"pop_determined_poverty_status","pop_determined_poverty_status",3.05012109331834
"female_35_to_39","female_35_to_39",2.95031665674889
"female_40_to_44","female_40_to_44",2.85886278503366
"pop_25_64","pop_25_64",2.84362967245101
"housing_units_renter_occupied","housing_units_renter_occupied",2.83716365873233
"population_3_years_over","population_3_years_over",2.80889512017175
"commute_10_14_mins","commute_10_14_mins",2.72404718745853
"nonfamily_households","nonfamily_households",2.67037139785663
"commuters_by_car_truck_van","commuters_by_car_truck_van",2.64319653878044
"three_cars","three_cars",2.62597455243458
"commuters_by_carpool","commuters_by_carpool",2.61690585714622
"civilian_labor_force","civilian_labor_force",2.59085767425069
"female_25_to_29","female_25_to_29",2.50763500286099
"pop_16_over","pop_16_over",2.48861844649148
"female_50_to_54","female_50_to_54",2.43180012330417
"pop_in_labor_force","pop_in_labor_force",2.3926083385566
"female_45_to_49","female_45_to_49",2.2711360809584
"male_40_to_44","male_40_to_44",2.23854289086243
"commute_15_19_mins","commute_15_19_mins",2.2288981058954
"married_households","married_households",2.18884907135019
"female_55_to_59","female_55_to_59",2.1381449304009
"male_45_to_49","male_45_to_49",2.13384546806921
"two_cars","two_cars",2.13268910004227
"employed_education_health_social","employed_education_health_social",2.03182107101269
"state_fips_code","state_fips_code",2.00961159135008
"family_households","family_households",1.99763714842389
"male_55_to_59","male_55_to_59",1.95176463971752
"male_50_to_54","male_50_to_54",1.95039119745797
"housing_units","housing_units",1.75504207115701
"state","state",1.74742784352444
"workers_16_and_over","workers_16_and_over",1.7400522094598
"pop_25_years_over","pop_25_years_over",1.68385039516725
"employed_pop","employed_pop",1.64506071778804
"male_25_to_29","male_25_to_29",1.63481047627119
"occupied_housing_units","occupied_housing_units",1.5815490978878
"male_45_to_64","male_45_to_64",1.50993053013958
"management_business_sci_arts_employed","management_business_sci_arts_employed",1.37899367224071
"occupation_management_arts","occupation_management_arts",1.28573421520022
"households","households",1.19834849208726
"geo_id","geo_id",0.725654117900921
"date","date",0
"two_parent_families_with_young_children","two_parent_families_with_young_children",-0.979458520592748
"county_fips_code","county_fips_code",-1.5025952449867
"county_name","county_name",-2.31103842254621
