"","predictors","X.IncMSE"
"armed_forces","armed_forces",22.9583438008916
"female_female_households","female_female_households",21.8211907577068
"commute_90_more_mins","commute_90_more_mins",19.3248105350347
"vacant_housing_units","vacant_housing_units",18.6474588970568
"hispanic_male_55_64","hispanic_male_55_64",18.6316771434569
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",17.4768313914507
"hispanic_any_race","hispanic_any_race",17.2883042612063
"two_or_more_races_pop","two_or_more_races_pop",17.2274576232929
"hispanic_male_45_54","hispanic_male_45_54",17.0005264834812
"median_year_structure_built","median_year_structure_built",16.6553760289489
"hispanic_pop","hispanic_pop",16.5786354658056
"mobile_homes","mobile_homes",16.5514227836044
"asian_male_45_54","asian_male_45_54",16.3791497599044
"asian_pop","asian_pop",16.3570066230331
"median_rent","median_rent",15.8857719344549
"asian_including_hispanic","asian_including_hispanic",15.8427753778275
"income_per_capita","income_per_capita",15.8013238907974
"transit_stations_percent_change_from_baseline","transit_stations_percent_change_from_baseline",15.7961846552981
"employed_public_administration","employed_public_administration",15.62759089388
"less_than_high_school_graduate","less_than_high_school_graduate",15.3394336179937
"amerindian_including_hispanic","amerindian_including_hispanic",15.3076555433476
"percent_income_spent_on_rent","percent_income_spent_on_rent",15.207647137365
"median_age","median_age",15.1733480506208
"parks_percent_change_from_baseline","parks_percent_change_from_baseline",14.9453508192898
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",14.8468869759279
"four_more_cars","four_more_cars",14.7662249265166
"male_45_64_high_school","male_45_64_high_school",14.7622207927377
"amerindian_pop","amerindian_pop",14.5475054448228
"male_45_64_grade_9_12","male_45_64_grade_9_12",14.3076206750685
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",14.2513679114713
"housing_built_2005_or_later","housing_built_2005_or_later",14.0375388003443
"employed_agriculture_forestry_fishing_hunting_mining","employed_agriculture_forestry_fishing_hunting_mining",13.9791151898939
"male_45_64_associates_degree","male_45_64_associates_degree",13.9064854301258
"two_parents_mother_in_labor_force_families_with_young_children","two_parents_mother_in_labor_force_families_with_young_children",13.7685297855858
"housing_built_2000_to_2004","housing_built_2000_to_2004",13.7500295924922
"median_income","median_income",13.7058715016112
"walked_to_work","walked_to_work",13.473554579662
"father_in_labor_force_one_parent_families_with_young_children","father_in_labor_force_one_parent_families_with_young_children",13.3409775458022
"employed_manufacturing","employed_manufacturing",13.2513888600292
"two_parents_not_in_labor_force_families_with_young_children","two_parents_not_in_labor_force_families_with_young_children",13.2492441782234
"dwellings_2_units","dwellings_2_units",13.0358452403944
"high_school_including_ged","high_school_including_ged",13.0193950279594
"dwellings_20_to_49_units","dwellings_20_to_49_units",12.9924493902172
"vacant_housing_units_for_rent","vacant_housing_units_for_rent",12.8018906969603
"commuters_by_bus","commuters_by_bus",12.6268662068376
"different_house_year_ago_different_city","different_house_year_ago_different_city",12.625876025452
"group_quarters","group_quarters",12.5774677746369
"asian_male_55_64","asian_male_55_64",12.5039383218721
"different_house_year_ago_same_city","different_house_year_ago_same_city",12.5024544789749
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",12.4214249761098
"income_200000_or_more","income_200000_or_more",12.2868645190149
"occupation_production_transportation_material","occupation_production_transportation_material",12.2665371733232
"no_cars","no_cars",11.8411978742283
"commute_60_89_mins","commute_60_89_mins",11.7927767184539
"two_parents_father_in_labor_force_families_with_young_children","two_parents_father_in_labor_force_families_with_young_children",11.7102599276229
"black_including_hispanic","black_including_hispanic",11.7027435833069
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",11.5834638582522
"dwellings_1_units_attached","dwellings_1_units_attached",11.5238164339777
"employed_transportation_warehousing_utilities","employed_transportation_warehousing_utilities",11.5178907996368
"residential_percent_change_from_baseline","residential_percent_change_from_baseline",11.4901823119768
"father_one_parent_families_with_young_children","father_one_parent_families_with_young_children",11.4752721867975
"male_45_64_less_than_9_grade","male_45_64_less_than_9_grade",11.4318620845064
"commuters_by_public_transportation","commuters_by_public_transportation",11.4300090555173
"high_school_diploma","high_school_diploma",11.3831032901897
"dwellings_3_to_4_units","dwellings_3_to_4_units",11.3788288564991
"housing_built_1939_or_earlier","housing_built_1939_or_earlier",11.2731039540144
"households_public_asst_or_food_stamps","households_public_asst_or_food_stamps",11.190291639415
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",11.1876118349296
"black_male_55_64","black_male_55_64",11.1814366814353
"male_male_households","male_male_households",11.1555049747666
"commute_45_59_mins","commute_45_59_mins",11.1211695059257
"workplaces_percent_change_from_baseline","workplaces_percent_change_from_baseline",11.0843224225767
"income_10000_14999","income_10000_14999",10.7706970829
"female_21","female_21",10.6214011950408
"black_male_45_54","black_male_45_54",10.456603906092
"million_dollar_housing_units","million_dollar_housing_units",10.3854810661053
"dwellings_10_to_19_units","dwellings_10_to_19_units",10.3793462229069
"rent_burden_not_computed","rent_burden_not_computed",10.3617021225232
"male_85_and_over","male_85_and_over",10.3565377628189
"white_male_45_54","white_male_45_54",10.2828117726055
"black_pop","black_pop",10.2296359443699
"commute_less_10_mins","commute_less_10_mins",10.1371252568019
"dwellings_50_or_more_units","dwellings_50_or_more_units",10.0573793060198
