"","predictors","X.IncMSE"
"high_school_diploma","high_school_diploma",17.4608096389875
"high_school_including_ged","high_school_including_ged",16.7068323531314
"male_45_64_high_school","male_45_64_high_school",12.9905855098937
"poverty","poverty",8.73454950231695
"less_than_high_school_graduate","less_than_high_school_graduate",7.98035136294796
"income_10000_14999","income_10000_14999",7.79340459615887
"children_in_single_female_hh","children_in_single_female_hh",7.69937611088905
"households_public_asst_or_food_stamps","households_public_asst_or_food_stamps",7.67881041067627
"commute_60_more_mins","commute_60_more_mins",7.66145592568443
"female_75_to_79","female_75_to_79",7.28180270130606
"not_in_labor_force","not_in_labor_force",7.22491050007395
"female_80_to_84","female_80_to_84",7.20161223804526
"not_hispanic_pop","not_hispanic_pop",6.86242028189929
"income_15000_19999","income_15000_19999",6.78467642677733
"dwellings_2_units","dwellings_2_units",6.33837236700485
"other_race_pop","other_race_pop",6.25562591057956
"commute_90_more_mins","commute_90_more_mins",5.92197267110129
"one_parent_families_with_young_children","one_parent_families_with_young_children",5.87785002141883
"rent_over_50_percent","rent_over_50_percent",5.67781136172941
"owner_occupied_housing_units","owner_occupied_housing_units",5.57239079053602
"female_50_to_54","female_50_to_54",5.50704510187094
"housing_built_1939_or_earlier","housing_built_1939_or_earlier",5.44436723299615
"occupation_services","occupation_services",5.42809710061538
"income_30000_34999","income_30000_34999",5.2515433426839
"income_25000_29999","income_25000_29999",5.17365904414785
"income_less_10000","income_less_10000",4.97418781673483
"female_70_to_74","female_70_to_74",4.87721188641379
"housing_units_renter_occupied","housing_units_renter_occupied",4.35940713414631
"occupation_production_transportation_material","occupation_production_transportation_material",4.12143796190233
"female_55_to_59","female_55_to_59",4.12032675125507
"female_45_to_49","female_45_to_49",3.9808406828903
"income_40000_44999","income_40000_44999",3.91051046037846
"income_20000_24999","income_20000_24999",3.87714679152743
"income_50000_59999","income_50000_59999",3.80921080152055
"female_15_to_17","female_15_to_17",3.78377975201313
"housing_units","housing_units",3.65422131668991
"nonfamily_households","nonfamily_households",3.6309261765973
"female_pop","female_pop",3.55571482868039
"pop_25_years_over","pop_25_years_over",3.47492042712085
"children","children",3.4097725420678
"in_grades_9_to_12","in_grades_9_to_12",3.31034869413929
"total_pop","total_pop",3.27370775216285
"one_car","one_car",3.22274724031972
"male_75_to_79","male_75_to_79",3.08512858624715
"male_pop","male_pop",3.03887725769841
"one_year_more_college","one_year_more_college",2.96713030230086
"male_55_to_59","male_55_to_59",2.94021260331178
"income_35000_39999","income_35000_39999",2.90631599928892
"female_22_to_24","female_22_to_24",2.8704406785418
"in_school","in_school",2.85012713114264
"male_15_to_17","male_15_to_17",2.84142229795018
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",2.83783968329095
"employed_pop","employed_pop",2.73981806099115
"commuters_16_over","commuters_16_over",2.71681955963051
"occupied_housing_units","occupied_housing_units",2.65625831149807
"amerindian_including_hispanic","amerindian_including_hispanic",2.59964543354553
"female_25_to_29","female_25_to_29",2.4454834561169
"male_45_to_64","male_45_to_64",2.44146471926145
"pop_determined_poverty_status","pop_determined_poverty_status",2.40171486365673
"population_3_years_over","population_3_years_over",2.32925126241057
"male_45_to_49","male_45_to_49",2.31549539803415
"two_cars","two_cars",2.29996114496337
"population_1_year_and_over","population_1_year_and_over",2.14952790783596
"male_25_to_29","male_25_to_29",2.11250507367739
"pop_in_labor_force","pop_in_labor_force",2.10132047825997
"male_50_to_54","male_50_to_54",1.96791865760769
"workers_16_and_over","workers_16_and_over",1.9452934834805
"family_households","family_households",1.87647103118424
"female_35_to_39","female_35_to_39",1.79879995173215
"female_10_to_14","female_10_to_14",1.74845884512038
"female_under_5","female_under_5",1.66719346014377
"pop_16_over","pop_16_over",1.60170762531048
"households","households",1.57778070539227
"pop_25_64","pop_25_64",1.5462250739618
"in_grades_1_to_4","in_grades_1_to_4",1.53691975678135
"commuters_by_car_truck_van","commuters_by_car_truck_van",1.38040354325579
"commuters_drove_alone","commuters_drove_alone",1.26997493954713
"female_40_to_44","female_40_to_44",1.21365308820737
"male_10_to_14","male_10_to_14",1.20052799081476
"male_40_to_44","male_40_to_44",1.07694195655275
"male_35_to_39","male_35_to_39",1.05496203749263
"male_under_5","male_under_5",0.983165156620156
"civilian_labor_force","civilian_labor_force",0.796004349624739
"state_fips_code","state_fips_code",0.789583589045525
"male_30_to_34","male_30_to_34",0.622926255518309
"male_5_to_9","male_5_to_9",0.570850365635904
"female_5_to_9","female_5_to_9",0.469085847382937
"families_with_young_children","families_with_young_children",0.372489515097071
"county_fips_code","county_fips_code",0.127434049918245
"in_grades_5_to_8","in_grades_5_to_8",0.102425806142682
"date","date",0
"county_name","county_name",-0.39431609402807
"state","state",-1.06584282134259
"geo_id","geo_id",-2.18597099943976
"hispanic_any_race","hispanic_any_race",-2.57327863686499
"hispanic_pop","hispanic_pop",-2.75984886303936
