"","predictors","X.IncMSE"
"median_age","median_age",45.9024740345648
"vacant_housing_units","vacant_housing_units",25.6985772207357
"income_per_capita","income_per_capita",23.7187421319982
"group_quarters","group_quarters",21.3242949380482
"median_rent","median_rent",16.6755522416673
"commute_less_10_mins","commute_less_10_mins",16.4151667238517
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",16.2104129945017
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",16.1841328520617
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",15.9789379383846
"different_house_year_ago_same_city","different_house_year_ago_same_city",15.4689447065984
"black_including_hispanic","black_including_hispanic",15.2690981350347
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",12.6202135770115
"households_retirement_income","households_retirement_income",12.4189608007125
"commute_5_9_mins","commute_5_9_mins",12.1981104841042
"male_22_to_24","male_22_to_24",11.0233411075712
"male_5_to_9","male_5_to_9",10.5906109369649
"commute_35_44_mins","commute_35_44_mins",10.2614432921795
"commute_45_59_mins","commute_45_59_mins",10.1598836578626
"employed_finance_insurance_real_estate","employed_finance_insurance_real_estate",9.98865077732377
"white_male_45_54","white_male_45_54",9.33092656633906
"female_65_to_66","female_65_to_66",9.2548353052032
"male_70_to_74","male_70_to_74",9.20882451573363
"worked_at_home","worked_at_home",8.8122981006838
"income_45000_49999","income_45000_49999",8.72255025703839
"male_under_5","male_under_5",8.66750962660546
"commute_35_39_mins","commute_35_39_mins",8.56564783208544
"commute_90_more_mins","commute_90_more_mins",8.10939734730814
"employed_science_management_admin_waste","employed_science_management_admin_waste",7.1624733448454
"commute_60_more_mins","commute_60_more_mins",7.09924156671284
"commute_60_89_mins","commute_60_89_mins",7.0325794283298
"female_70_to_74","female_70_to_74",6.60126088236211
"aggregate_travel_time_to_work","aggregate_travel_time_to_work",5.85054752251212
"mortgaged_housing_units","mortgaged_housing_units",4.60588842627473
"mobile_homes","mobile_homes",5.39171019124078e-15
"percent_income_spent_on_rent","percent_income_spent_on_rent",4.70944277548331e-15
"black_pop","black_pop",4.2234278800741e-15
"black_male_45_54","black_male_45_54",3.71959529190687e-15
"walked_to_work","walked_to_work",3.70581127440377e-15
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",3.6222010742306e-15
"black_male_55_64","black_male_55_64",3.48696992645205e-15
"less_than_high_school_graduate","less_than_high_school_graduate",3.46869883855172e-15
"occupation_production_transportation_material","occupation_production_transportation_material",3.18187729186895e-15
"median_income","median_income",2.85445744683386e-15
"employed_manufacturing","employed_manufacturing",2.82854500244585e-15
"amerindian_pop","amerindian_pop",2.7386434457981e-15
"white_pop","white_pop",2.61799172557458e-15
"employed_transportation_warehousing_utilities","employed_transportation_warehousing_utilities",2.57422419793046e-15
"employed_wholesale_trade","employed_wholesale_trade",2.54141826160819e-15
"white_male_55_64","white_male_55_64",2.53690184463388e-15
"rent_under_10_percent","rent_under_10_percent",2.25495491603038e-15
"two_parent_families_with_young_children","two_parent_families_with_young_children",2.15829708609881e-15
"female_85_and_over","female_85_and_over",2.04194914238434e-15
"commute_40_44_mins","commute_40_44_mins",1.79691762741977e-15
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",1.7905563940784e-15
"employed_agriculture_forestry_fishing_hunting_mining","employed_agriculture_forestry_fishing_hunting_mining",1.68832590613948e-15
"commute_30_34_mins","commute_30_34_mins",1.64778397524185e-15
"masters_degree","masters_degree",1.5483653687435e-15
"in_grades_5_to_8","in_grades_5_to_8",1.53525930900043e-15
"employed_education_health_social","employed_education_health_social",1.53283990194853e-15
"male_65_to_66","male_65_to_66",1.52631728531688e-15
"housing_built_1939_or_earlier","housing_built_1939_or_earlier",1.51432032540716e-15
"income_200000_or_more","income_200000_or_more",1.48298959259839e-15
"male_75_to_79","male_75_to_79",1.37763665536834e-15
"female_62_to_64","female_62_to_64",1.27812386073298e-15
"employed_other_services_not_public_admin","employed_other_services_not_public_admin",1.24825115058407e-15
"graduate_professional_degree","graduate_professional_degree",1.24240300815055e-15
"female_60_to_61","female_60_to_61",1.23557467619263e-15
"dwellings_1_units_attached","dwellings_1_units_attached",1.20484971665495e-15
"occupation_management_arts","occupation_management_arts",1.2004103541344e-15
"male_male_households","male_male_households",1.15944219903164e-15
"three_cars","three_cars",1.13896320924693e-15
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",1.12466803228558e-15
"commuters_by_public_transportation","commuters_by_public_transportation",1.10271055898456e-15
"female_80_to_84","female_80_to_84",1.09795190798175e-15
"male_45_64_graduate_degree","male_45_64_graduate_degree",1.09219253563294e-15
"million_dollar_housing_units","million_dollar_housing_units",1.0804738820645e-15
"management_business_sci_arts_employed","management_business_sci_arts_employed",1.01310166881669e-15
"commute_20_24_mins","commute_20_24_mins",1.00007425400961e-15
"total_pop","total_pop",9.78299302843091e-16
"commuters_drove_alone","commuters_drove_alone",9.38396144856959e-16
"commuters_by_bus","commuters_by_bus",8.50508462195036e-16
"commute_25_29_mins","commute_25_29_mins",8.18052140737101e-16
