"","predictors","X.IncMSE"
"owner_occupied_housing_units_lower_value_quartile","owner_occupied_housing_units_lower_value_quartile",3.54863878996117e-17
"owner_occupied_housing_units_median_value","owner_occupied_housing_units_median_value",2.65164678098353e-17
"white_pop","white_pop",1.76222841267774e-17
"owner_occupied_housing_units_upper_value_quartile","owner_occupied_housing_units_upper_value_quartile",1.55984864664776e-17
"white_male_55_64","white_male_55_64",1.24641514678039e-17
"four_more_cars","four_more_cars",7.43373257658663e-18
"commute_40_44_mins","commute_40_44_mins",6.63604338624173e-18
"median_rent","median_rent",5.92613827634745e-18
"less_than_high_school_graduate","less_than_high_school_graduate",5.6628172882007e-18
"worked_at_home","worked_at_home",5.19553461878984e-18
"not_hispanic_pop","not_hispanic_pop",4.96398132606217e-18
"different_house_year_ago_different_city","different_house_year_ago_different_city",4.78514110173902e-18
"commute_35_44_mins","commute_35_44_mins",4.65162820582859e-18
"male_60_61","male_60_61",4.33358557069676e-18
"poverty","poverty",4.29919874611224e-18
"employed_finance_insurance_real_estate","employed_finance_insurance_real_estate",4.06956237418979e-18
"vacant_housing_units_for_sale","vacant_housing_units_for_sale",4.02583211613445e-18
"dwellings_10_to_19_units","dwellings_10_to_19_units",3.91390272545774e-18
"bachelors_degree","bachelors_degree",3.77606342916676e-18
"white_including_hispanic","white_including_hispanic",3.72050299199683e-18
"bachelors_degree_2","bachelors_degree_2",3.67759277599963e-18
"less_one_year_college","less_one_year_college",3.6224444955737e-18
"walked_to_work","walked_to_work",3.61381684038526e-18
"three_cars","three_cars",3.54130570326313e-18
"two_parents_in_labor_force_families_with_young_children","two_parents_in_labor_force_families_with_young_children",3.42790106518483e-18
"income_15000_19999","income_15000_19999",3.24782149756551e-18
"income_50000_59999","income_50000_59999",3.10892117824082e-18
"rent_10_to_15_percent","rent_10_to_15_percent",3.00454714222491e-18
"two_cars","two_cars",2.93391178883503e-18
"income_125000_149999","income_125000_149999",2.90888648383609e-18
"median_income","median_income",2.89779824221257e-18
"management_business_sci_arts_employed","management_business_sci_arts_employed",2.88563071874846e-18
"male_45_64_bachelors_degree","male_45_64_bachelors_degree",2.84547221774453e-18
"commuters_by_subway_or_elevated","commuters_by_subway_or_elevated",2.83577556583039e-18
"renter_occupied_housing_units_paying_cash_median_gross_rent","renter_occupied_housing_units_paying_cash_median_gross_rent",2.82466088636688e-18
"dwellings_1_units_detached","dwellings_1_units_detached",2.69333350571139e-18
"male_45_64_some_college","male_45_64_some_college",2.68722759580284e-18
"occupation_management_arts","occupation_management_arts",2.67014140386987e-18
"one_year_more_college","one_year_more_college",2.61468283909623e-18
"income_less_10000","income_less_10000",2.60987832580704e-18
"masters_degree","masters_degree",2.59211479181911e-18
"employed_other_services_not_public_admin","employed_other_services_not_public_admin",2.56731743025982e-18
"employed_science_management_admin_waste","employed_science_management_admin_waste",2.54259739921864e-18
"employed_wholesale_trade","employed_wholesale_trade",2.48834698888084e-18
"some_college_and_associates_degree","some_college_and_associates_degree",2.48723366061923e-18
"commute_30_34_mins","commute_30_34_mins",2.47485710641443e-18
"graduate_professional_degree","graduate_professional_degree",2.42415771782756e-18
"commute_35_39_mins","commute_35_39_mins",2.39849556131177e-18
"employed_arts_entertainment_recreation_accommodation_food","employed_arts_entertainment_recreation_accommodation_food",2.35563740840508e-18
"employed_construction","employed_construction",2.34165592577969e-18
"male_55_to_59","male_55_to_59",2.33009021886359e-18
"male_40_to_44","male_40_to_44",2.2638846333319e-18
"amerindian_pop","amerindian_pop",2.26059519985692e-18
"bachelors_degree_or_higher_25_64","bachelors_degree_or_higher_25_64",2.20873830055793e-18
"commuters_by_carpool","commuters_by_carpool",2.18077313310308e-18
"male_45_64_associates_degree","male_45_64_associates_degree",2.17939990909208e-18
"income_150000_199999","income_150000_199999",2.09384721963868e-18
"mortgaged_housing_units","mortgaged_housing_units",2.09263595454846e-18
"income_60000_74999","income_60000_74999",2.03798302094474e-18
"occupation_natural_resources_construction_maintenance","occupation_natural_resources_construction_maintenance",2.01436109447685e-18
"male_male_households","male_male_households",1.99038240764464e-18
"commute_25_29_mins","commute_25_29_mins",1.94530052176597e-18
"associates_degree","associates_degree",1.79012761218325e-18
"commuters_by_car_truck_van","commuters_by_car_truck_van",1.78961917955566e-18
"male_45_64_graduate_degree","male_45_64_graduate_degree",1.69239463826517e-18
"commuters_drove_alone","commuters_drove_alone",1.65627901031416e-18
"million_dollar_housing_units","million_dollar_housing_units",1.64723144258996e-18
"father_one_parent_families_with_young_children","father_one_parent_families_with_young_children",1.57225502291554e-18
"total_pop","total_pop",1.50271726167504e-18
"female_female_households","female_female_households",1.49931227320036e-18
"employed_information","employed_information",1.48733212656216e-18
"income_75000_99999","income_75000_99999",1.47226363536847e-18
"father_in_labor_force_one_parent_families_with_young_children","father_in_labor_force_one_parent_families_with_young_children",1.44147981242104e-18
"civilian_labor_force","civilian_labor_force",1.34606892889476e-18
"sales_office_employed","sales_office_employed",1.28336811816134e-18
"other_race_pop","other_race_pop",1.28262511560973e-18
"income_100000_124999","income_100000_124999",1.23434508279511e-18
"employed_pop","employed_pop",1.19521411339012e-18
"occupation_sales_office","occupation_sales_office",1.15468285027893e-18
"commuters_16_over","commuters_16_over",1.08000792053811e-18
"armed_forces","armed_forces",9.54756261182899e-19
"pop_in_labor_force","pop_in_labor_force",9.45499584953899e-19
"workers_16_and_over","workers_16_and_over",7.48076590316268e-19
